ACNT_ID_NUM_KEY,ACNT_ID_NUM,ACNT_ID_TYP_CD,ACNT_PRTY_REL,ACNT_NUM,PARNT_NSC_NUM,ACNT_OPN_DT,ACNT_NAME,ACNT_STS_CD,ACNT_CLSED_IND,JURIS_CD,SRC_SYS_ACNT_TYP,SRC_SYS_ACNT_SUB_TYP,ACNT_CCY_REF,LDGR_BAL_EOD,ACNT_MRKT_CLAS_CD,CUST_CR_CNTRL_STRTGY_CD,BUS_CTR_CNTRLD_IND,UNQ_ACNT_GRP_NUM,ACNT_SUB_OFC_CD,DR_INT_RATE_TYP,DR_INT_RATE,ACNT_DATA_SRC_CD,BATCH_PROCESS_NAME,START_DATE,LAST_UPDT_DATE,RECORD_DELETED_FLAG,SHDW_BAL_AMT,SHDW_BAL_DTTM,SHDW_BAL_SEQ,LDGR_BAL_AMT,LDGR_BAL_DTTM,LDGR_BAL_SEQ
BKKG^10000016^900016,BKKG^10000016^900016,,,,,,,,,,,,,,,,,,,,,,,,,,1941.69,2025-02-24 15:58:57.000,31,1591.67,2025-02-24 15:58:57.000,32
BKKG^10000017^900017,BKKG^10000017^900017,,,,,,,,,,,,,,,,,,,,,,,,,,563.0,2025-02-24 16:46:08.000,33,1538.15,2025-02-24 16:46:08.000,34
BKKG^10000018^900018,BKKG^10000018^900018,,,,,,,,,,,,,,,,,,,,,,,,,,4542.88,2025-02-24 15:57:50.000,35,1018.39,2025-02-24 15:57:50.000,36
BKKG^10000019^900019,BKKG^10000019^900019,,,,,,,,,,,,,,,,,,,,,,,,,,2737.85,2025-02-24 16:44:52.000,37,4854.87,2025-02-24 16:44:52.000,38
BKKG^10000020^900020,BKKG^10000020^900020,,,,,,,,,,,,,,,,,,,,,,,,,,3006.73,2025-02-24 16:12:20.000,39,2143.76,2025-02-24 16:12:20.000,40
BKKG^10000021^900021,BKKG^10000021^900021,,,,,,,,,,,,,,,,,,,,,,,,,,2785.24,2025-02-24 16:23:06.000,41,1584.85,2025-02-24 16:23:06.000,42
BKKG^10000022^900022,BKKG^10000022^900022,,,,,,,,,,,,,,,,,,,,,,,,,,554.42,2025-02-24 16:05:13.000,43,4705.36,2025-02-24 16:05:13.000,44
BKKG^10000023^900023,BKKG^10000023^900023,,,,,,,,,,,,,,,,,,,,,,,,,,3783.31,2025-02-24 16:31:10.000,45,3888.17,2025-02-24 16:31:10.000,46
BKKG^10000024^900024,BKKG^10000024^900024,,,,,,,,,,,,,,,,,,,,,,,,,,3566.38,2025-02-24 16:39:40.000,47,3763.96,2025-02-24 16:39:40.000,48
BKKG^10000025^900025,BKKG^10000025^900025,,,,,,,,,,,,,,,,,,,,,,,,,,1866.52,2025-02-24 15:50:58.000,49,3513.86,2025-02-24 15:50:58.000,50
BKKG^10000026^900026,BKKG^10000026^900026,,,,,,,,,,,,,,,,,,,,,,,,,,2645.58,2025-02-24 16:18:18.000,51,3918.58,2025-02-24 16:18:18.000,52
BKKG^10000027^900027,BKKG^10000027^900027,,,,,,,,,,,,,,,,,,,,,,,,,,3120.33,2025-02-24 16:48:31.000,53,620.12,2025-02-24 16:48:31.000,54
BKKG^10000028^900028,BKKG^10000028^900028,,,,,,,,,,,,,,,,,,,,,,,,,,909.69,2025-02-24 16:03:19.000,55,3958.56,2025-02-24 16:03:19.000,56
BKKG^10000029^900029,BKKG^10000029^900029,,,,,,,,,,,,,,,,,,,,,,,,,,96.88,2025-02-24 16:24:40.000,57,2129.76,2025-02-24 16:24:40.000,58
BKKG^10000030^900030,BKKG^10000030^900030,,,,,,,,,,,,,,,,,,,,,,,,,,3218.0,2025-02-24 16:43:46.000,59,4087.21,2025-02-24 16:43:46.000,60
BKKG^10000031^900031,BKKG^10000031^900031,,,,,,,,,,,,,,,,,,,,,,,,,,51.75,2025-02-24 16:30:10.000,61,2143.84,2025-02-24 16:30:10.000,62
BKKG^10000032^900032,BKKG^10000032^900032,,,,,,,,,,,,,,,,,,,,,,,,,,3825.73,2025-02-24 16:26:07.000,63,2876.84,2025-02-24 16:26:07.000,64
BKKG^10000033^900033,BKKG^10000033^900033,,,,,,,,,,,,,,,,,,,,,,,,,,2812.73,2025-02-24 16:17:53.000,65,125.47,2025-02-24 16:17:53.000,66
BKKG^10000034^900034,BKKG^10000034^900034,,,,,,,,,,,,,,,,,,,,,,,,,,1418.41,2025-02-24 16:24:51.000,67,1811.25,2025-02-24 16:24:51.000,68
BKKG^10000035^900035,BKKG^10000035^900035,,,,,,,,,,,,,,,,,,,,,,,,,,1831.83,2025-02-24 16:27:56.000,69,3862.29,2025-02-24 16:27:56.000,70
BKKG^10000036^900036,BKKG^10000036^900036,,,,,,,,,,,,,,,,,,,,,,,,,,83.67,2025-02-24 16:29:30.000,71,1494.38,2025-02-24 16:29:30.000,72
BKKG^10000037^900037,BKKG^10000037^900037,,,,,,,,,,,,,,,,,,,,,,,,,,3347.23,2025-02-24 16:16:17.000,73,4880.28,2025-02-24 16:16:17.000,74
BKKG^10000038^900038,BKKG^10000038^900038,,,,,,,,,,,,,,,,,,,,,,,,,,1178.87,2025-02-24 16:08:41.000,75,715.89,2025-02-24 16:08:41.000,76
BKKG^10000039^900039,BKKG^10000039^900039,,,,,,,,,,,,,,,,,,,,,,,,,,4407.69,2025-02-24 16:20:14.000,77,522.13,2025-02-24 16:20:14.000,78
BKKG^10000040^900040,BKKG^10000040^900040,,,,,,,,,,,,,,,,,,,,,,,,,,2818.48,2025-02-24 16:13:53.000,79,2529.92,2025-02-24 16:13:53.000,80
BKKG^10000041^900041,BKKG^10000041^900041,,,,,,,,,,,,,,,,,,,,,,,,,,2472.96,2025-02-24 16:15:21.000,81,998.74,2025-02-24 16:15:21.000,82
BKKG^10000042^900042,BKKG^10000042^900042,,,,,,,,,,,,,,,,,,,,,,,,,,1956.17,2025-02-24 16:37:31.000,83,405.96,2025-02-24 16:37:31.000,84
BKKG^10000043^900043,BKKG^10000043^900043,,,,,,,,,,,,,,,,,,,,,,,,,,4520.67,2025-02-24 16:12:56.000,85,3238.47,2025-02-24 16:12:56.000,86
BKKG^10000044^900044,BKKG^10000044^900044,,,,,,,,,,,,,,,,,,,,,,,,,,901.19,2025-02-24 16:16:55.000,87,3571.14,2025-02-24 16:16:55.000,88
BKKG^10000045^900045,BKKG^10000045^900045,,,,,,,,,,,,,,,,,,,,,,,,,,2885.6,2025-02-24 16:18:25.000,89,918.51,2025-02-24 16:18:25.000,90
BKKG^10000046^900046,BKKG^10000046^900046,,,,,,,,,,,,,,,,,,,,,,,,,,1195.71,2025-02-24 16:06:31.000,91,4852.85,2025-02-24 16:06:31.000,92
BKKG^10000047^900047,BKKG^10000047^900047,,,,,,,,,,,,,,,,,,,,,,,,,,2910.34,2025-02-24 16:13:37.000,93,1426.86,2025-02-24 16:13:37.000,94
BKKG^10000048^900048,BKKG^10000048^900048,,,,,,,,,,,,,,,,,,,,,,,,,,1511.0,2025-02-24 15:50:18.000,95,687.45,2025-02-24 15:50:18.000,96
BKKG^10000049^900049,BKKG^10000049^900049,,,,,,,,,,,,,,,,,,,,,,,,,,2176.12,2025-02-24 16:37:02.000,97,3582.65,2025-02-24 16:37:02.000,98
BKKG^10000050^900050,BKKG^10000050^900050,,,,,,,,,,,,,,,,,,,,,,,,,,72.49,2025-02-24 15:57:21.000,99,3325.51,2025-02-24 15:57:21.000,100
BKKG^10000051^900051,BKKG^10000051^900051,,,,,,,,,,,,,,,,,,,,,,,,,,3162.64,2025-02-24 16:41:47.000,101,4379.93,2025-02-24 16:41:47.000,102
BKKG^10000052^900052,BKKG^10000052^900052,,,,,,,,,,,,,,,,,,,,,,,,,,4493.79,2025-02-24 16:45:28.000,103,698.0,2025-02-24 16:45:28.000,104
BKKG^10000053^900053,BKKG^10000053^900053,,,,,,,,,,,,,,,,,,,,,,,,,,4604.38,2025-02-24 16:04:45.000,105,1763.44,2025-02-24 16:04:45.000,106
BKKG^10000054^900054,BKKG^10000054^900054,,,,,,,,,,,,,,,,,,,,,,,,,,114.2,2025-02-24 16:06:44.000,107,548.42,2025-02-24 16:06:44.000,108
BKKG^10000055^900055,BKKG^10000055^900055,,,,,,,,,,,,,,,,,,,,,,,,,,2034.18,2025-02-24 16:32:20.000,109,3371.39,2025-02-24 16:32:20.000,110
BKKG^10000056^900056,BKKG^10000056^900056,,,,,,,,,,,,,,,,,,,,,,,,,,2138.16,2025-02-24 15:54:13.000,111,2581.0,2025-02-24 15:54:13.000,112
BKKG^10000057^900057,BKKG^10000057^900057,,,,,,,,,,,,,,,,,,,,,,,,,,3541.38,2025-02-24 16:31:24.000,113,1559.01,2025-02-24 16:31:24.000,114
BKKG^10000058^900058,BKKG^10000058^900058,,,,,,,,,,,,,,,,,,,,,,,,,,2563.32,2025-02-24 16:17:44.000,115,921.87,2025-02-24 16:17:44.000,116
BKKG^10000059^900059,BKKG^10000059^900059,,,,,,,,,,,,,,,,,,,,,,,,,,3940.06,2025-02-24 16:19:09.000,117,3366.8,2025-02-24 16:19:09.000,118
BKKG^10000060^900060,BKKG^10000060^900060,,,,,,,,,,,,,,,,,,,,,,,,,,3126.4,2025-02-24 16:38:18.000,119,4358.98,2025-02-24 16:38:18.000,120
BKKG^10000061^900061,BKKG^10000061^900061,,,,,,,,,,,,,,,,,,,,,,,,,,3299.82,2025-02-24 16:17:42.000,121,4353.57,2025-02-24 16:17:42.000,122
BKKG^10000062^900062,BKKG^10000062^900062,,,,,,,,,,,,,,,,,,,,,,,,,,512.21,2025-02-24 15:55:47.000,123,533.76,2025-02-24 15:55:47.000,124
BKKG^10000063^900063,BKKG^10000063^900063,,,,,,,,,,,,,,,,,,,,,,,,,,3155.06,2025-02-24 16:37:14.000,125,482.38,2025-02-24 16:37:14.000,126
BKKG^10000064^900064,BKKG^10000064^900064,,,,,,,,,,,,,,,,,,,,,,,,,,1805.15,2025-02-24 15:50:33.000,127,4987.14,2025-02-24 15:50:33.000,128
BKKG^10000065^900065,BKKG^10000065^900065,,,,,,,,,,,,,,,,,,,,,,,,,,4044.3,2025-02-24 16:09:58.000,129,223.73,2025-02-24 16:09:58.000,130
BKKG^10000066^900066,BKKG^10000066^900066,,,,,,,,,,,,,,,,,,,,,,,,,,2340.62,2025-02-24 16:19:16.000,131,3150.42,2025-02-24 16:19:16.000,132
BKKG^10000067^900067,BKKG^10000067^900067,,,,,,,,,,,,,,,,,,,,,,,,,,3899.41,2025-02-24 16:17:39.000,133,2515.83,2025-02-24 16:17:39.000,134
BKKG^10000068^900068,BKKG^10000068^900068,,,,,,,,,,,,,,,,,,,,,,,,,,4257.36,2025-02-24 16:09:28.000,135,4280.15,2025-02-24 16:09:28.000,136
BKKG^10000069^900069,BKKG^10000069^900069,,,,,,,,,,,,,,,,,,,,,,,,,,1404.02,2025-02-24 16:47:15.000,137,324.96,2025-02-24 16:47:15.000,138
BKKG^10000070^900070,BKKG^10000070^900070,,,,,,,,,,,,,,,,,,,,,,,,,,3740.39,2025-02-24 16:02:55.000,139,1543.26,2025-02-24 16:02:55.000,140
BKKG^10000071^900071,BKKG^10000071^900071,,,,,,,,,,,,,,,,,,,,,,,,,,4123.58,2025-02-24 15:54:12.000,141,4545.15,2025-02-24 15:54:12.000,142
BKKG^10000072^900072,BKKG^10000072^900072,,,,,,,,,,,,,,,,,,,,,,,,,,3318.23,2025-02-24 16:25:46.000,143,2998.72,2025-02-24 16:25:46.000,144
BKKG^10000073^900073,BKKG^10000073^900073,,,,,,,,,,,,,,,,,,,,,,,,,,4550.58,2025-02-24 16:44:51.000,145,828.31,2025-02-24 16:44:51.000,146
BKKG^10000074^900074,BKKG^10000074^900074,,,,,,,,,,,,,,,,,,,,,,,,,,2371.65,2025-02-24 16:19:27.000,147,3959.21,2025-02-24 16:19:27.000,148
BKKG^10000075^900075,BKKG^10000075^900075,,,,,,,,,,,,,,,,,,,,,,,,,,4860.36,2025-02-24 16:02:14.000,149,3546.08,2025-02-24 16:02:14.000,150
BKKG^10000076^900076,BKKG^10000076^900076,,,,,,,,,,,,,,,,,,,,,,,,,,2412.4,2025-02-24 15:49:38.000,151,3528.23,2025-02-24 15:49:38.000,152
BKKG^10000077^900077,BKKG^10000077^900077,,,,,,,,,,,,,,,,,,,,,,,,,,2478.6,2025-02-24 16:33:03.000,153,3657.75,2025-02-24 16:33:03.000,154
BKKG^10000078^900078,BKKG^10000078^900078,,,,,,,,,,,,,,,,,,,,,,,,,,343.32,2025-02-24 16:17:05.000,155,3604.35,2025-02-24 16:17:05.000,156
BKKG^10000079^900079,BKKG^10000079^900079,,,,,,,,,,,,,,,,,,,,,,,,,,3648.75,2025-02-24 16:40:31.000,157,2590.41,2025-02-24 16:40:31.000,158
BKKG^10000080^900080,BKKG^10000080^900080,,,,,,,,,,,,,,,,,,,,,,,,,,185.04,2025-02-24 16:47:49.000,159,2906.27,2025-02-24 16:47:49.000,160
BKKG^10000081^900081,BKKG^10000081^900081,,,,,,,,,,,,,,,,,,,,,,,,,,4885.09,2025-02-24 16:43:20.000,161,4866.1,2025-02-24 16:43:20.000,162
BKKG^10000082^900082,BKKG^10000082^900082,,,,,,,,,,,,,,,,,,,,,,,,,,1627.86,2025-02-24 16:34:26.000,163,4838.91,2025-02-24 16:34:26.000,164
BKKG^10000083^900083,BKKG^10000083^900083,,,,,,,,,,,,,,,,,,,,,,,,,,4816.44,2025-02-24 16:41:29.000,165,435.01,2025-02-24 16:41:29.000,166
BKKG^10000084^900084,BKKG^10000084^900084,,,,,,,,,,,,,,,,,,,,,,,,,,4418.63,2025-02-24 16:44:58.000,167,1892.56,2025-02-24 16:44:58.000,168
BKKG^10000085^900085,BKKG^10000085^900085,,,,,,,,,,,,,,,,,,,,,,,,,,2523.06,2025-02-24 16:12:32.000,169,2076.2,2025-02-24 16:12:32.000,170
BKKG^10000086^900086,BKKG^10000086^900086,,,,,,,,,,,,,,,,,,,,,,,,,,841.45,2025-02-24 15:57:55.000,171,87.43,2025-02-24 15:57:55.000,172
BKKG^10000087^900087,BKKG^10000087^900087,,,,,,,,,,,,,,,,,,,,,,,,,,1533.59,2025-02-24 16:36:20.000,173,4137.75,2025-02-24 16:36:20.000,174
BKKG^10000088^900088,BKKG^10000088^900088,,,,,,,,,,,,,,,,,,,,,,,,,,1010.71,2025-02-24 16:11:37.000,175,4802.89,2025-02-24 16:11:37.000,176
BKKG^10000089^900089,BKKG^10000089^900089,,,,,,,,,,,,,,,,,,,,,,,,,,1936.18,2025-02-24 15:50:06.000,177,637.24,2025-02-24 15:50:06.000,178
BKKG^10000090^900090,BKKG^10000090^900090,,,,,,,,,,,,,,,,,,,,,,,,,,4478.99,2025-02-24 15:53:29.000,179,683.53,2025-02-24 15:53:29.000,180
BKKG^10000091^900091,BKKG^10000091^900091,,,,,,,,,,,,,,,,,,,,,,,,,,1762.51,2025-02-24 16:19:08.000,181,3223.99,2025-02-24 16:19:08.000,182
BKKG^10000092^900092,BKKG^10000092^900092,,,,,,,,,,,,,,,,,,,,,,,,,,4900.94,2025-02-24 16:09:03.000,183,3656.57,2025-02-24 16:09:03.000,184
BKKG^10000093^900093,BKKG^10000093^900093,,,,,,,,,,,,,,,,,,,,,,,,,,1988.09,2025-02-24 16:34:59.000,185,2324.89,2025-02-24 16:34:59.000,186
BKKG^10000094^900094,BKKG^10000094^900094,,,,,,,,,,,,,,,,,,,,,,,,,,1572.11,2025-02-24 16:20:20.000,187,4597.6,2025-02-24 16:20:20.000,188
BKKG^10000095^900095,BKKG^10000095^900095,,,,,,,,,,,,,,,,,,,,,,,,,,2379.22,2025-02-24 16:14:01.000,189,3430.42,2025-02-24 16:14:01.000,190
BKKG^10000096^900096,BKKG^10000096^900096,,,,,,,,,,,,,,,,,,,,,,,,,,865.01,2025-02-24 16:45:40.000,191,1194.71,2025-02-24 16:45:40.000,192
BKKG^10000097^900097,BKKG^10000097^900097,,,,,,,,,,,,,,,,,,,,,,,,,,485.92,2025-02-24 16:41:51.000,193,4846.52,2025-02-24 16:41:51.000,194
BKKG^10000098^900098,BKKG^10000098^900098,,,,,,,,,,,,,,,,,,,,,,,,,,919.88,2025-02-24 16:40:00.000,195,2262.15,2025-02-24 16:40:00.000,196
BKKG^10000099^900099,BKKG^10000099^900099,,,,,,,,,,,,,,,,,,,,,,,,,,2119.07,2025-02-24 16:25:16.000,197,2099.4,2025-02-24 16:25:16.000,198
BKKG^10000100^900100,BKKG^10000100^900100,,,,,,,,,,,,,,,,,,,,,,,,,,2829.62,2025-02-24 16:29:41.000,199,1526.79,2025-02-24 16:29:41.000,200
BKKG^10000101^900101,BKKG^10000101^900101,,,,,,,,,,,,,,,,,,,,,,,,,,4118.0,2025-02-24 16:39:12.000,201,77.83,2025-02-24 16:39:12.000,202
BKKG^10000102^900102,BKKG^10000102^900102,,,,,,,,,,,,,,,,,,,,,,,,,,955.21,2025-02-24 16:13:28.000,203,3950.87,2025-02-24 16:13:28.000,204
BKKG^10000103^900103,BKKG^10000103^900103,,,,,,,,,,,,,,,,,,,,,,,,,,722.39,2025-02-24 16:31:14.000,205,370.68,2025-02-24 16:31:14.000,206
BKKG^10000104^900104,BKKG^10000104^900104,,,,,,,,,,,,,,,,,,,,,,,,,,2643.49,2025-02-24 15:59:41.000,207,57.11,2025-02-24 15:59:41.000,208
BKKG^10000105^900105,BKKG^10000105^900105,,,,,,,,,,,,,,,,,,,,,,,,,,647.01,2025-02-24 16:18:19.000,209,1666.67,2025-02-24 16:18:19.000,210
BKKG^10000106^900106,BKKG^10000106^900106,,,,,,,,,,,,,,,,,,,,,,,,,,3286.08,2025-02-24 15:59:11.000,211,2491.86,2025-02-24 15:59:11.000,212
BKKG^10000107^900107,BKKG^10000107^900107,,,,,,,,,,,,,,,,,,,,,,,,,,4137.41,2025-02-24 16:11:16.000,213,669.35,2025-02-24 16:11:16.000,214
BKKG^10000108^900108,BKKG^10000108^900108,,,,,,,,,,,,,,,,,,,,,,,,,,3407.12,2025-02-24 16:39:27.000,215,4243.74,2025-02-24 16:39:27.000,216
BKKG^10000109^900109,BKKG^10000109^900109,,,,,,,,,,,,,,,,,,,,,,,,,,2351.88,2025-02-24 16:34:03.000,217,3847.97,2025-02-24 16:34:03.000,218
BKKG^10000110^900110,BKKG^10000110^900110,,,,,,,,,,,,,,,,,,,,,,,,,,3733.22,2025-02-24 16:34:27.000,219,1445.07,2025-02-24 16:34:27.000,220
BKKG^10000111^900111,BKKG^10000111^900111,,,,,,,,,,,,,,,,,,,,,,,,,,3004.01,2025-02-24 16:28:38.000,221,4129.2,2025-02-24 16:28:38.000,222
BKKG^10000112^900112,BKKG^10000112^900112,,,,,,,,,,,,,,,,,,,,,,,,,,366.89,2025-02-24 16:16:28.000,223,940.78,2025-02-24 16:16:28.000,224
BKKG^10000113^900113,BKKG^10000113^900113,,,,,,,,,,,,,,,,,,,,,,,,,,3427.89,2025-02-24 16:32:48.000,225,1090.47,2025-02-24 16:32:48.000,226
BKKG^10000114^900114,BKKG^10000114^900114,,,,,,,,,,,,,,,,,,,,,,,,,,3990.32,2025-02-24 16:27:30.000,227,3736.94,2025-02-24 16:27:30.000,228
BKKG^10000115^900115,BKKG^10000115^900115,,,,,,,,,,,,,,,,,,,,,,,,,,1068.06,2025-02-24 16:01:15.000,229,3640.31,2025-02-24 16:01:15.000,230
BKKG^10000116^900116,BKKG^10000116^900116,,,,,,,,,,,,,,,,,,,,,,,,,,2212.8,2025-02-24 15:58:29.000,231,2169.07,2025-02-24 15:58:29.000,232
BKKG^10000117^900117,BKKG^10000117^900117,,,,,,,,,,,,,,,,,,,,,,,,,,4664.52,2025-02-24 16:32:15.000,233,554.77,2025-02-24 16:32:15.000,234
BKKG^10000118^900118,BKKG^10000118^900118,,,,,,,,,,,,,,,,,,,,,,,,,,892.4,2025-02-24 16:12:31.000,235,1086.15,2025-02-24 16:12:31.000,236
BKKG^10000119^900119,BKKG^10000119^900119,,,,,,,,,,,,,,,,,,,,,,,,,,565.8,2025-02-24 16:20:53.000,237,4270.19,2025-02-24 16:20:53.000,238
BKKG^10000120^900120,BKKG^10000120^900120,,,,,,,,,,,,,,,,,,,,,,,,,,953.56,2025-02-24 16:47:30.000,239,738.83,2025-02-24 16:47:30.000,240
BKKG^10000121^900121,BKKG^10000121^900121,,,,,,,,,,,,,,,,,,,,,,,,,,110.77,2025-02-24 16:20:39.000,241,2725.22,2025-02-24 16:20:39.000,242
BKKG^10000122^900122,BKKG^10000122^900122,,,,,,,,,,,,,,,,,,,,,,,,,,2361.15,2025-02-24 16:32:23.000,243,3821.43,2025-02-24 16:32:23.000,244
BKKG^10000123^900123,BKKG^10000123^900123,,,,,,,,,,,,,,,,,,,,,,,,,,4290.58,2025-02-24 16:28:44.000,245,4403.7,2025-02-24 16:28:44.000,246
BKKG^10000124^900124,BKKG^10000124^900124,,,,,,,,,,,,,,,,,,,,,,,,,,946.36,2025-02-24 16:10:24.000,247,4222.72,2025-02-24 16:10:24.000,248
BKKG^10000125^900125,BKKG^10000125^900125,,,,,,,,,,,,,,,,,,,,,,,,,,4716.29,2025-02-24 16:45:19.000,249,4299.62,2025-02-24 16:45:19.000,250
BKKG^10000126^900126,BKKG^10000126^900126,,,,,,,,,,,,,,,,,,,,,,,,,,2284.24,2025-02-24 15:51:04.000,251,257.82,2025-02-24 15:51:04.000,252
BKKG^10000127^900127,BKKG^10000127^900127,,,,,,,,,,,,,,,,,,,,,,,,,,634.46,2025-02-24 16:03:12.000,253,732.61,2025-02-24 16:03:12.000,254
BKKG^10000128^900128,BKKG^10000128^900128,,,,,,,,,,,,,,,,,,,,,,,,,,4342.35,2025-02-24 16:25:00.000,255,2638.5,2025-02-24 16:25:00.000,256
BKKG^10000129^900129,BKKG^10000129^900129,,,,,,,,,,,,,,,,,,,,,,,,,,2743.59,2025-02-24 16:28:27.000,257,4730.73,2025-02-24 16:28:27.000,258
BKKG^10000130^900130,BKKG^10000130^900130,,,,,,,,,,,,,,,,,,,,,,,,,,3548.49,2025-02-24 16:15:07.000,259,264.85,2025-02-24 16:15:07.000,260
BKKG^10000131^900131,BKKG^10000131^900131,,,,,,,,,,,,,,,,,,,,,,,,,,91.08,2025-02-24 16:28:03.000,261,1255.35,2025-02-24 16:28:03.000,262
BKKG^10000132^900132,BKKG^10000132^900132,,,,,,,,,,,,,,,,,,,,,,,,,,3524.03,2025-02-24 15:49:23.000,263,689.93,2025-02-24 15:49:23.000,264
BKKG^10000133^900133,BKKG^10000133^900133,,,,,,,,,,,,,,,,,,,,,,,,,,2149.36,2025-02-24 16:06:26.000,265,2585.77,2025-02-24 16:06:26.000,266
BKKG^10000134^900134,BKKG^10000134^900134,,,,,,,,,,,,,,,,,,,,,,,,,,4415.74,2025-02-24 15:55:37.000,267,2557.71,2025-02-24 15:55:37.000,268
BKKG^10000135^900135,BKKG^10000135^900135,,,,,,,,,,,,,,,,,,,,,,,,,,906.73,2025-02-24 15:59:12.000,269,1295.23,2025-02-24 15:59:12.000,270
BKKG^10000136^900136,BKKG^10000136^900136,,,,,,,,,,,,,,,,,,,,,,,,,,2482.13,2025-02-24 16:19:11.000,271,835.84,2025-02-24 16:19:11.000,272
BKKG^10000137^900137,BKKG^10000137^900137,,,,,,,,,,,,,,,,,,,,,,,,,,3220.05,2025-02-24 16:43:24.000,273,1505.65,2025-02-24 16:43:24.000,274
BKKG^10000138^900138,BKKG^10000138^900138,,,,,,,,,,,,,,,,,,,,,,,,,,525.19,2025-02-24 16:07:58.000,275,3897.32,2025-02-24 16:07:58.000,276
BKKG^10000139^900139,BKKG^10000139^900139,,,,,,,,,,,,,,,,,,,,,,,,,,1867.53,2025-02-24 16:25:28.000,277,1385.94,2025-02-24 16:25:28.000,278
BKKG^10000140^900140,BKKG^10000140^900140,,,,,,,,,,,,,,,,,,,,,,,,,,4296.54,2025-02-24 16:08:09.000,279,3500.66,2025-02-24 16:08:09.000,280
BKKG^10000141^900141,BKKG^10000141^900141,,,,,,,,,,,,,,,,,,,,,,,,,,663.8,2025-02-24 16:07:44.000,281,4100.66,2025-02-24 16:07:44.000,282
